Horse                                                                                                             , Year of Birth, Level, Sire                              , Sire's level, Dam                           , Dam's level
Coldplay Ps                                                                                                       , 2015         , 135  , Conthargos                        , 140         , Chaplaya                      , #N/A
Bs Coldplay                                                                                                       , 2015         , 135  , Cool Man K                        , 140         , Diva van het Lambroeck        , #N/A
Qh Babalou Santo Antonio (aka: ELAN D&s;AMOUR)                                                                    , 2014         , 135  , Balou du Rouet                    , 150         , Prim                          , #N/A
Crossover (aka: CROSSOVER 4)                                                                                      , 2013         , 135  , Cascadello I                      , 140         , Chakira                       , #N/A
Gamelus R (aka: G.AMELUSINA R53)                                                                                  , 2011         , 135  , Namelus R                         , 140         , B.Amelusiena R22              , #N/A
Charlie's Way                                                                                                     , 2013         , 135  , Chacco-Blue                       , 160         , Peisha                        , #N/A
Looping Luna (aka: LOONA)                                                                                         , 2014         , 135  , Lord Fauntleroy                   , 140         , Concordia                     , 140
Gem of Kannan                                                                                                     , 2016         , 130  , Kannan                            , 160         , Gwatemala                     , 130
Toledo (aka: TOULON)                                                                                              , 2000         , 130  , Hinault                           , 140         , Iris Bella                    , 130
Lord Toulon                                                                                                       , 2015         , 130  , Toulon                            , 160         , Rose De Setif                 , 150
Chaka Chaka 3 (aka: CASALL CONTENDRO DL)                                                                          , 2013         , 130  , Casall ASK                        , 170         , O-Contendra DL                , 130
Gustavo Dudamel (aka: CASALLO 12)                                                                                 , 2012         , 130  , Casall ASK                        , 170         , P-Algrafina                   , 110
Dreaming (aka: CASALLS DREAM)                                                                                     , 2011         , 130  , Casall ASK                        , 170         , Utopia VIII                   , 130
Astoria I (aka: CASALL'S LADY)                                                                                    , 2008         , 130  , Casall ASK                        , 170         , Ulla VIII                     , 120
Carassina (aka: CASALLINA)                                                                                        , 2008         , 130  , Casall ASK                        , 170         , Iliade D'Etenchin             , 130
Lsv Cardento Cruise                                                                                               , 2014         , 130  , Cardento                          , 170         , Cruise Bird                   , 130
Verdi                                                                                                             , 2002         , 130  , Oramé                             , 160         , Noerien                       , 130
Icb Darc Cavalier (aka: VERDICT)                                                                                  , 2011         , 130  , Ustinov                           , 150         , Lady Deister                  , 130
Conte Masetto Della Verdina                                                                                       , 2005         , 130  , Contender                         , 170         , Freia V                       , 130
Capriola Verdi Van'T Heike                                                                                        , 2002         , 130  , Grandeur                          , 170         , Nefri Verdi                   , 130
Verdi Van Het Kapelhof                                                                                            , 1998         , 130  , Darco                             , 170         , Prima Donna                   , 140
Berlina De Triomphe Sow                                                                                           , 2006         , 130  , Triomphe de Muze                  , 140         , Uberlina K                    , 170
Berlin Du Loc'H                                                                                                   , 2011         , 130  , Zurich                            , 150         , Geisha du Germay              , 130
Despina 70 (aka: DIARADO'S PRINCESS)                                                                              , 2013         , 130  , Diarado                           , 170         , Princess 131                  , 140
Damon L (aka: DER DIARADO L)                                                                                      , 2009         , 130  , Diarado                           , 170         , Ulana XV                      , 130
Diarado's Black Label                                                                                             , 2011         , 130  , Diarado                           , 170         , My Lady                       , 130
Balouska Du Rouet                                                                                                 , 2006         , 130  , Balou du Rouet                    , 150         , Taloma                        , 110
Balouna Du Rouet                                                                                                  , 2006         , 130  , Balou du Rouet                    , 150         , Luna                          , 150
"Zara XXXI (aka: ZARA 109, ZARA FOR PLEASURE)"                                                                    , 2007         , 130  , For Pleasure                      , 170         , Tequilla I                    , 130
Playboy For Pleasure                                                                                              , 2015         , 130  , unknown                           , 130         , Mistinguette Du Radoux        , 130
Balou For Pleasure                                                                                                , 2014         , 130  , Balou du Rouet                    , 150         , Lordships la Rochelle         , 130
Heartbreaker                                                                                                      , 2012         , 130  , Canabis Z                         , 140         , Pascha                        , 140
Heartbreaker de Lux                                                                                               , 2013         , 130  , Hermes de Lux                     , 130         , Usminka A                     , 130
Heartbreaker Del Pas                                                                                              , 2004         , 130  , Cassini I                         , 150         , Hakuna Matata                 , 140
Cevin'S Heartbreaker                                                                                              , 2013         , 130  , Cevin Z                           , 150         , Ziezo                         , 150
Idessa (aka: QUICK STAR)                                                                                          , 1990         , 130  , Jasper                            , 170         , Zodessa                       , 120
Electric Star (aka: QUICK MINA)                                                                                   , 1993         , 130  , Quick Star                        , 170         , Domina                        , 140
Quick Star De Maurepas                                                                                            , 2004         , 130  , Quick Star                        , 170         , Fidalie De Maurepas           , 130
Staerebogaards Quick Star                                                                                         , 2006         , 130  , Quite Easy                        , 150         , Staerebogard'S Papilon        , 130
Darco                                                                                                             , 2009         , 130  , Nonstop                           , 170         , unknown                       , 150
Darco                                                                                                             , 1985         , 130  , Naturel                           , 170         , Winette                       , 140
"Driver Vd Gr Winning Z (aka: DONNIE DARCO Z, DRIVER VD GR.WINNING Z)"                                            , 2007         , 130  , Darco                             , 170         , Rachida van Betho             , 130
Dalton Van Overis Z (aka: Darco's Ambition)                                                                       , 2008         , 130  , Darco                             , 170         , Udabanti Van Het Keizershof   , 130
Mr. Blue Eye                                                                                                      , 2008         , 130  , Cassini I                         , 150         , Fontane                       , 120
"Mr. Blue Eye (aka: EYE CATCHER, MR BLUE EYE)"                                                                    , 2009         , 130  , Carambole                         , 170         , Vogue                         , 130
Dorado 212                                                                                                        , 2013         , 130  , Diarado's Boy                     , 130         , Cary Blue                     , 130
Madeira IV (aka: HALEY)                                                                                           , 1997         , 130  , Heraldik                          , 160         , Capona                        , 130
Una Mariposa Jps                                                                                                  , 2016         , 130  , United Touch S                    , 170         , Hella S                       , 130
Accoton Ps                                                                                                        , 2012         , 130  , A Pikachu de Muze                 , 140         , Chaccdula                     , 130
Checker (aka: CHECKER 4)                                                                                          , 2000         , 130  , Campari M                         , 100         , Akelei                        , 130
Corn Wallace (aka: CHECKER L)                                                                                     , 2011         , 130  , Colestus                          , 160         , Hocus Pokus                   , 120
Checker 78                                                                                                        , 2014         , 130  , Conthargos                        , 140         , Quick Palm                    , 130
Checker Be                                                                                                        , 2010         , 130  , Cantoblanco                       , 130         , Shakira D'Or                  , 130
Checker 41                                                                                                        , 2008         , 130  , Coriano                           , 170         , United III                    , 170
Easy                                                                                                              , 2014         , 130  , Best Of Opus Dei Z                , 170         , Uni-Happy Du Pachis           , 130
Easy                                                                                                              , 1990         , 130  , Grundyman                         , 130         , Willora                       , 130
Quin Cento (aka: PBM QUITE EASY)                                                                                  , 2005         , 130  , Quite Capitol                     , 140         , Cindi                         , 120
Emmy 51 (aka: EASY)                                                                                               , 2012         , 130  , Lenett                            , 130         , Vathia                        , 130
Easy Girl van de Rib                                                                                              , 2014         , 130  , Indalo Van'T Paradehof            , 150         , Realist                       , 170
Glamour Girl Tiekarla                                                                                             , 2011         , 130  , Zirocco Blue VDL                  , 170         , Tiekarla V                    , 130
Hollywood V                                                                                                       , 2012         , 130  , Mylord Carthago                   , 130         , Zally                         , 120
Ballyknock Obos Hollywood                                                                                         , 2016         , 130  , OBOS Quality                      , 160         , Honeylands Hollywood          , 130
Skyfall                                                                                                           , 2009         , 130  , Stalypso                          , 120         , Santana K                     , 130
CC Skyfall Tt                                                                                                     , 2012         , 130  , Casall ASK                        , 170         , Amira III                     , 130
Skyfall Os                                                                                                        , 2016         , 130  , Diamant de Semilly                , 170         , Oakingham Francesca           , 120
Toulayna van het Bloesemhof Z                                                                                     , 2014         , 130  , Toulon                            , 160         , Vuelta                        , 110
Caipirinha (aka: CAIPIRINHA 56)                                                                                   , 2004         , 130  , Dollar de la Pierre               , 170         , Libelle VIII                  , 130
Caipirinha                                                                                                        , 1997         , 130  , Lancer II                         , 130         , Countess                      , 140
Caipirinha                                                                                                        , 1996         , 130  , Cambridge                         , 150         , Udona                         , 110
Castani (aka: CAIPIRINHA)                                                                                         , 2009         , 130  , Casall ASK                        , 170         , Profotopicara                 , 130
Grandezza III (aka: CAIPIRINHA 2)                                                                                 , 1992         , 130  , Caletto I                         , 170         , Carmen III                    , 130
Caipirinha Devil Z                                                                                                , 2015         , 130  , Cachas                            , 100         , Larkina Bois Margot Z         , 130
Caipirinha 14                                                                                                     , 1998         , 130  , Corradino                         , 140         , Gina                          , 150
"M-Caipirinha (aka: CAIPIRINHA 28, NAMIRA)"                                                                       , 1997         , 130  , Corrado I                         , 170         , Almuth                        , 130
Casallino                                                                                                         , 2014         , 130  , Casall ASK                        , 170         , Belinda                       , 140
Casallino 5                                                                                                       , 2008         , 130  , Casall ASK                        , 170         , Ugarda                        , 120
Chalouries Ps                                                                                                     , 2014         , 130  , Chacco-Blue                       , 160         , Bangolan                      , 130
Chaloubet 3                                                                                                       , 2014         , 130  , Chaman                            , 160         , Classique                     , 110
Caius Julius Caesar Z                                                                                             , 2012         , 130  , Clinton                           , 170         , Altaire Van Overis            , 130
Julius Du Fraigneau                                                                                               , 1997         , 130  , Ramiro                            , 160         , Utopia du Roihinet            , 130
Olisco De Piquet                                                                                                  , 2002         , 130  , Cap de B'Neville                  , 140         , Ines de Piquet                , 130
Princess Of Monaco (aka: KILCURRY JUMPING Z)                                                                      , 2007         , 130  , Aldatus Z                         , 140         , Jumping Diamond               , 130
Elysium Gnz (aka: GRAHAM)                                                                                         , 2009         , 130  , Lansing                           , 140         , unknown                       , 150
Le Padre (aka: CALLAHO LE PADRE)                                                                                  , 2009         , 130  , Lissabon                          , 150         , Zidria                        , 130
Fargo Wells (aka: CALLAHO FARGO WELLS)                                                                            , 2009         , 130  , For Joy                           , 140         , Brandenburg Liason            , 130
Hamilton                                                                                                          , 2012         , 130  , Jerez du Pre Clair                , 130         , Fergie                        , 130
Hamilton                                                                                                          , 2012         , 130  , Van Gogh                          , 170         , Kyraleen                      , 130
Hamilton                                                                                                          , 2007         , 130  , Dollar du Murier                  , 170         , Energy du Bacon               , 130
Nottingham Rgs (aka: HAMILTON RGS)                                                                                , 2013         , 130  , Cunningham                        , 170         , Pourquoi                      , 130
Hamilton Van'T Schaaphof                                                                                          , 2007         , 130  , Calvaro                           , 170         , Satana Van'T Schaapshof       , 130
Hamilton VD Barbierbeek                                                                                           , 2007         , 130  , Kashmir van Schuttershof          , 140         , Tanega E.T. 'T'               , 130
Django Du Val Du Geer                                                                                             , 2009         , 130  , Flamenco de Semilly               , 140         , Fiona Von Freimannshof        , 130
Django De Neveztell                                                                                               , 2013         , 130  , Allegreto                         , 160         , Reale De Laubray              , 130
Django Des Hayettes                                                                                               , 2009         , 130  , Mozart des Hayettes               , 160         , Ryonne des Hayettes Z         , 130
Chaquitos Ps                                                                                                      , 2013         , 130  , Chacco-Blue                       , 160         , Conquita                      , 130
GEMMA D&s;AUNIS (aka: GEMMA D AUNIS)                                                                              , 2016         , 130  , Quantum                           , 140         , Haliotis d'Aunis              , 130
Cristello (aka: BERTHOLD 5)                                                                                       , 2009         , 130  , Cormint                           , 130         , G-Aristie                     , 130
Zuccero                                                                                                           , 2004         , 130  , Candidat                          , 170         , Jagenta                       , 130
Romeo                                                                                                             , 2008         , 130  , Cassini II                        , 140         , Orchidee 42                   , 130
Romeo                                                                                                             , 1987         , 130  , Romiro                            , 120         , Tanja                         , 140
Caja 38 (aka: CHICA DE LA LUNA)                                                                                   , 2013         , 130  , Cornado I                         , 170         , Dione                         , 130
La Lotti (aka: LA CHICA)                                                                                          , 2008         , 130  , Lapaz L                           , 150         , Flair                         , 130
Caress 9 (aka: CHICHARITO)                                                                                        , 2007         , 130  , Caretino                          , 170         , Mandy IV                      , 130
Cartoon City Mh (aka: CHICOLIN)                                                                                   , 2007         , 130  , Odermus R                         , 140         , Tiaralina                     , 130
Palisa II (aka: CHICOLETTA 4)                                                                                     , 2000         , 130  , Candillo                          , 140         , Cerrie                        , 130
Casandra (aka: CHICAGO)                                                                                           , 1991         , 130  , Cacir                             , 130         , Fruehlingsgirl                , 130
La Costa                                                                                                          , 2006         , 130  , unknown                           , 130         , unknown                       , 150
Misterio Sobral da Costa                                                                                          , 2012         , 130  , unknown                           , 130         , Gentle Thoughts V/h Kelfshof  , 130
LILI Sobral Da Costa                                                                                              , 2011         , 130  , Cooper vd Heffinck                , 160         , Fleur Dwerse Hagen            , 130
Safira De La Costa                                                                                                , 2007         , 130  , Stolzenberg                       , 140         , Werthers Echte                , 130
Brave (aka: BRAVE-GIRL VAN'T AERTSHOF)                                                                            , 2001         , 130  , Poor Boy                          , 140         , Dunellie                      , 130
Quidams Conteur                                                                                                   , 2004         , 130  , Quidam's Rubin                    , 130         , Kima                          , 130
Rahmannshof Aruba (aka: AZURA)                                                                                    , 2007         , 130  , Askari                            , 170         , Sanssouci 81                  , 130
Azur de Ste Eulalie                                                                                               , 2010         , 130  , Quite Easy                        , 150         , INES D&s;AZUR                 , 130
COTE D&s;AZUR                                                                                                     , 2014         , 130  , Plot Blue                         , 170         , Ghs Cyprus Hill               , 130
Azur De Moens                                                                                                     , 2010         , 130  , Mylord Carthago                   , 130         , Rosane De Moens               , 130
Azur de Pepinvast                                                                                                 , 2010         , 130  , Quite Easy                        , 150         , Brise de Pepinvast            , 130
Davidoff Van Het Liedekerkshof                                                                                    , 2009         , 130  , Nabab de Reve                     , 170         , Quinquina Van 'T Steenputje   , 130
Davidoff Bb                                                                                                       , 2008         , 130  , Ginus                             , 140         , Nierania                      , 130
Ilexa                                                                                                             , 1994         , 130  , Ile de Bourbon                    , 140         , Graefin M                     , 130
Contagio Girl                                                                                                     , 2009         , 130  , Contagio                          , 160         , Adrienne D'Azur               , 130
Cumano II                                                                                                         , 2007         , 130  , Ustinov                           , 150         , Wisse                         , 130
Ganeffa Z (aka: GERMAINE 2)                                                                                       , 1978         , 130  , Graf Gotthard Z                   , 140         , Heureka Z                     , 130
Giovanni St Germain                                                                                               , 2016         , 130  , Kannan                            , 160         , Quinoa de Puymalier           , 130
Germaine Utopia                                                                                                   , 1988         , 130  , Jasper                            , 170         , Urleen Utopia                 , 130
Igor                                                                                                              , 2013         , 130  , Numero Uno                        , 150         , Nitta                         , 130
Igor                                                                                                              , 2013         , 130  , I'm Special de Muze               , 150         , Caravelle                     , 130
Igor                                                                                                              , 2008         , 130  , Kashmir van Schuttershof          , 140         , Tilly                         , 130
Igor                                                                                                              , 2008         , 130  , Kashmir van Schuttershof          , 140         , Altess Van De Dorpshoeve      , 130
Igor                                                                                                              , 1990         , 130  , Equador                           , 140         , Sorhaya                       , 130
Igor                                                                                                              , 1990         , 130  , Pele                              , 170         , Utriomph                      , 130
Igor                                                                                                              , 1990         , 130  , Pele                              , 170         , Syolita                       , 130
Igor                                                                                                              , 1990         , 130  , Ulster                            , 140         , Seragonda                     , 130
Igor                                                                                                              , 1990         , 130  , Julio Mariner                     , 130         , Zilvia                        , 130
Zephyr (aka: IGOR)                                                                                                , 2013         , 130  , Charisma                          , 130         , Eroniki                       , 130
"Konjured (aka: IGOR K, IGOR-K)"                                                                                  , 2008         , 130  , Cabrio van de Heffinck            , 160         , Prelude                       , 130
Igor van den Dael Z                                                                                               , 2015         , 130  , I Am Moerhoeve's Star             , 130         , Recia Hof Den Dries Z         , 130
"Clausi 5 (aka: CLAUDIOS CHOICE R, CLAUSI)"                                                                       , 2000         , 130  , Claudio's Son                     , 130         , D-Keara                       , 130
Blyth'S Centurion Fe (aka: CLAUDIO 27)                                                                            , 2012         , 130  , Cassito                           , 120         , Cindy                         , 130
Ronja XXVI (aka: CLAUDIO'S RONJA)                                                                                 , 2001         , 130  , Claudio's Son                     , 130         , Konja                         , 130
Calixtus (aka: CLAUDIUS)                                                                                          , 2004         , 130  , Calato                            , 160         , Nancy VI                      , 130
Celina 120                                                                                                        , 2002         , 130  , Calgary                           , 170         , Hetti                         , 130
Cactus Z (aka: CORNWALL VON DER HELD Z)                                                                           , 2008         , 130  , Catwalk van de Helle              , 130         , Tinella                       , 130
Countess Of Cornwall                                                                                              , 2001         , 130  , Calido I                          , 160         , Quarina                       , 130
Emerson                                                                                                           , 2009         , 130  , Tangelo van de Zuuthoeve          , 150         , Nybalia                       , 130
Emerson                                                                                                           , 2009         , 130  , Mermus R                          , 140         , B.Amelusina R 25              , 130
Emerson                                                                                                           , 2001         , 130  , Escudo I                          , 160         , Wildfee                       , 130
"Upcountry Caleandro (aka: CASH FLYER H, UP COUNTRY CALEANDRO)"                                                   , 2011         , 130  , Caleandro                         , 150         , Rilliane                      , 130
"Wisdom H (aka: ORANGE COUNTY, WILD THING)"                                                                       , 2003         , 130  , Marlon                            , 140         , Lizelma                       , 130
Mata Hari (aka: COUNTESS)                                                                                         , 2001         , 130  , Contender                         , 170         , Monique                       , 130
After Eight                                                                                                       , 1993         , 130  , Argentinus                        , 150         , Develine                      , 130
Sunny Tjecco (aka: TORNADO)                                                                                       , 2006         , 130  , Toronto                           , 170         , Virginia                      , 130
Tempete (aka: TORNADO)                                                                                            , 2000         , 130  , Osmium                            , 130         , Kebalia                       , 130
Taliah (aka: TORNADO)                                                                                             , 2000         , 130  , Kelvin                            , 120         , Nadieh                        , 130
Tornado Van De Heikant                                                                                            , 2012         , 130  , Tonixe                            , 160         , Juta Van Den Heikant          , 130
Elfra Van Beek Z                                                                                                  , 2014         , 130  , El Salvador                       , 140         , Freza Van Beek                , 130
Delices De Saint Val (aka: DANTANA)                                                                               , 2008         , 130  , Dreamcatcher                      , 110         , Verona                        , 130
Codexa L                                                                                                          , 2014         , 130  , Cornado I                         , 170         , Primera                       , 130
Codex                                                                                                             , 2013         , 130  , Centurion                         , 150         , Poesie                        , 130
Araldac (aka: ARPEGGIO 7)                                                                                         , 2005         , 130  , Vancouver                         , 170         , Fanny                         , 140
Ipswich                                                                                                           , 1990         , 130  , Damocles                          , 120         , Evelina                       , 130
Solid As Gold                                                                                                     , 2005         , 130  , Stakkato Gold                     , 140         , Call Her Top                  , 130
Solid Gold R                                                                                                      , 2013         , 130  , Sampras                           , 140         , Sugarbabe P                   , 130
Is-Minka                                                                                                          , 2013         , 130  , Mylord Carthago                   , 130         , Weyminka                      , 130
Cashew 11                                                                                                         , 2008         , 130  , Cassini II                        , 140         , Siness                        , 130
Ib Chica (aka: CHICA DE LA LUNA 30)                                                                               , 2013         , 130  , Cador                             , 130         , Episode                       , 130
Valento (aka: VALENTIANUS)                                                                                        , 2011         , 130  , Van Helsing                       , 160         , Doriana                       , 130
Coolio 42                                                                                                         , 2013         , 130  , Casalito                          , 150         , Anka VIII                     , 130
Coolio DI Capri                                                                                                   , 1996         , 130  , Corrado I                         , 170         , Solara                        , 130
Coolio 38                                                                                                         , 2011         , 130  , Cornado I                         , 170         , Princess                      , 130
Coolio Lumi                                                                                                       , 2010         , 130  , Can Do L                          , 120         , Paulinchen                    , 130
Garfield                                                                                                          , 2011         , 130  , Hos D'O                           , 160         , Tatjana                       , 130
Garfield                                                                                                          , 1995         , 130  , Glorieux                          , 140         , Wanuschka                     , 130
Garfield                                                                                                          , 1992         , 130  , Grandeur                          , 170         , Grandessa                     , 130
Garfield Fr                                                                                                       , 1983         , 130  , Godehard                          , 130         , Cornelia                      , 130
Ulara I (aka: CLAIRE DE LUNE 6)                                                                                   , 2004         , 130  , Clinton I                         , 170         , Marlene II                    , 130
Elena (aka: CLAIRE 179)                                                                                           , 2012         , 130  , Clarimo ASK                       , 160         , Verena S                      , 130
Gettysburg Du Clair de Lune                                                                                       , 2012         , 130  , Qody de St Aubert                 , 130         , Ovannette Van De Ryst         , 140
Umoa Du Clair De Lune                                                                                             , 2004         , 130  , Fairplay du Manoir                , 130         , Ovannette Van De Ryst         , 140
Hunger Games Du Champ Du Bois                                                                                     , 2013         , 130  , Elvis Ter Putte                   , 150         , Hera                          , 130
Gaudi                                                                                                             , 1999         , 130  , Gralshüter                        , 160         , Dinarda                       , 130
Grand Prix (aka: GAUDIO O)                                                                                        , 2011         , 130  , Arthos R                          , 170         , Sinsinea Go                   , 130
Gaudy Night                                                                                                       , 2003         , 130  , Cougar                            , 150         , Mistic Vision                 , 130
QUINTINE VAN D&s;ABDIJHOEVE                                                                                       , 2016         , 130  , Dieu-Merci van T&L                , 130         , Dolce Havanna Van D'Heyboght  , 130
Quintino Van Het Groenhof                                                                                         , 1993         , 130  , Ramiro                            , 160         , Hendrieka                     , 130
Clitschko T                                                                                                       , 2006         , 130  , Castellini                        , 110         , Olina II                      , 130
Clitschko                                                                                                         , 1997         , 130  , Coriander                         , 140         , Bianka                        , 130
Starissa                                                                                                          , 2013         , 130  , Stakkato Gold                     , 140         , Queen Larissa                 , 130
Champ Of Jump 2 (aka: MTM ONE TIME)                                                                               , 2011         , 130  , Chin Champ                        , 120         , R-Lorentina                   , 130
Robyn (aka: BMH QUALITY TIME)                                                                                     , 2002         , 130  , Larenco D.D.H.                    , 130         , Giulia                        , 130
Nutanja (aka: New York Times)                                                                                     , 1995         , 130  , Lux Z                             , 170         , Etanja                        , 130
Aline I (aka: COFFEE TIME 3)                                                                                      , 2008         , 130  , Chepetto                          , 170         , Pinie I                       , 130
Matador (aka: MAVERICK)                                                                                           , 1994         , 130  , Hamlet                            , 130         , Donnalinde                    , 130
Matador                                                                                                           , 1994         , 130  , Hamlet                            , 130         , Veronique                     , 130
Investment                                                                                                        , 1990         , 130  , Nimmerdor                         , 170         , Evita H                       , 130
Amsterdam (aka: AMITHABA)                                                                                         , 2005         , 130  , Abke                              , 160         , Lovely                        , 140
Ahousat (aka: AVENTADOR S)                                                                                        , 2013         , 130  , Armitage                          , 140         , Candy Girl                    , 130
Nashville (aka: NASHVILLE 69)                                                                                     , 2008         , 130  , Now or Never M                    , 110         , Elfe                          , 130
Nashville                                                                                                         , 1995         , 130  , Fedor                             , 170         , Katarina                      , 130
Nashville                                                                                                         , 1995         , 130  , C-Indoctro                        , 140         , Joyful Lady                   , 130
