Horse                                                                                                             , Year of Birth, Level, Sire                              , Sire's level, Dam                           , Dam's level
Ilex Vp                                                                                                           , 2008         , 170  , Diamant de Semilly                , 170         , Emma Vp                       , 150
"Leone Jei (aka: DOPHARMA'S HAY EL DESTA ALI, HAY EL DESTA ALI)"                                                  , 2012         , 170  , Baltic VDL                        , 170         , Dara                          , 150
Contagious                                                                                                        , 2009         , 170  , Contagio                          , 160         , For Mary                      , 150
Chica B Z                                                                                                         , 2009         , 170  , Canturano                         , 140         , Bolanda                       , 150
Great White (aka: CUMAN C)                                                                                        , 2008         , 170  , Cumano                            , 170         , Ma July                       , 150
"Nature Menardiere (aka: CUMANA, RAHMANNSHOF'S CUMANA)"                                                           , 2001         , 170  , Cumano                            , 170         , Girandole Nantuel             , 150
St. Germain (aka: ST GERMAIN)                                                                                     , 2000         , 170  , Stakkato                          , 160         , Griseldis                     , 150
VDL Edgar M (aka: Edgar M)                                                                                        , 2009         , 170  , Arezzo VDL                        , 160         , Aramee O.A.                   , 150
Igor                                                                                                              , 1990         , 170  , Cavalier                          , 140         , Vabgarthyia                   , 150
Igor (aka: ROYAL FUTURE)                                                                                          , 1990         , 170  , Calvados                          , 170         , Berlaine                      , 150
Igor Van De Grauwe Berg                                                                                           , 2008         , 170  , Bentley vd Heffinck               , 150         , Penelope Van Het Lindenhof    , 150
Tobago Z (aka: Scuderia 1918 Tobago Z)                                                                            , 2008         , 170  , Tangelo van de Zuuthoeve          , 150         , Whoopie C                     , 150
Celina 179                                                                                                        , 2007         , 170  , Carenzo                           , 170         , Abonita                       , 150
La Celina                                                                                                         , 1999         , 170  , Lordanos                          , 150         , Pieps                         , 150
Cornwall 9                                                                                                        , 2003         , 170  , Cornet Obolensky                  , 170         , Pilot’s Power                 , 150
Cornwall (aka: CARTARO)                                                                                           , 1995         , 170  , Carthago                          , 170         , Bandura                       , 150
Killer Queen VDM (aka: Killer Queen)                                                                              , 2010         , 170  , Eldorado van de Zeshoek           , 140         , Derly Chin de Muze            , 150
Count Me In                                                                                                       , 2007         , 170  , Count Grannus                     , 140         , Sunshine                      , 150
Sig Comedy 5 (aka: COUNTRY CLASSIC)                                                                               , 2003         , 170  , Cassini II                        , 140         , Gina                          , 150
Brenda (aka: COUNTRY GIRL)                                                                                        , 1995         , 170  , Brentano II                       , 170         , Agranoma                      , 150
Fiumicino Van De Kalevallei                                                                                       , 2011         , 170  , Plot Blue                         , 170         , Triomphante van Schuttershof  , 150
Tomboy Du Major Van Het Eikenhof (aka: TOMBOY MAJOR)                                                              , 1996         , 170  , Major de la Cour                  , 170         , Nolyska                       , 150
Tornado Van De Noordheuvel                                                                                        , 1996         , 170  , Dominard                          , 150         , Janicula Van De Bieheide      , 150
Tornado Des Monts                                                                                                 , 2007         , 170  , Flipper d'Elle                    , 170         , Duchesse des Monts II         , 150
Kasper Van Het Hellehof                                                                                           , 2010         , 170  , Emerald van 't Ruytershof         , 170         , Hadise Van Het Hellehof       , 150
Fasther                                                                                                           , 2010         , 170  , Vigo d'Arsouilles                 , 170         , Blisther                      , 150
Vital Chance De La Roque                                                                                          , 2009         , 170  , Diamant de Semilly                , 170         , Image du Chateau II           , 150
Mansini Ltd                                                                                                       , 2009         , 170  , Caressini L                       , 170         , Maräng                        , 150
Codex One (aka: Codex One Z)                                                                                      , 2002         , 170  , Contendro I                       , 120         , Gipsy                         , 150
Arpege Du Ru                                                                                                      , 2010         , 170  , Apache d'Adriers                  , 160         , Hera De Longvaut              , 150
Arpeggio'S Son                                                                                                    , 1999         , 170  , Arpeggio                          , 150         , Polydora                      , 150
Ipswich Van De Wolfsakker                                                                                         , 2008         , 170  , Carembar de Muze                  , 170         , Equistare                     , 150
Robin De Ponthual                                                                                                 , 2005         , 170  , Elf d'Or                          , 170         , Io de la Grange               , 150
Cashew Cr                                                                                                         , 2008         , 170  , Cassini II                        , 140         , Udenna                        , 150
Pepita con Spita                                                                                                  , 2011         , 170  , Con Spirit                        , 160         , Pamina                        , 170
Deluxe Ilton (aka: ILTON VAN 'T MARTENDONKERF)                                                                    , 2008         , 170  , Cooper vd Heffinck                , 160         , Tevita Van t Martendonkerf    , 150
Coolio 17                                                                                                         , 2003         , 170  , Cornet Obolensky                  , 170         , Get Smart                     , 150
